open,high,low,close,volume,TradeDate,time
10.16,10.2467,10.16,10.2467,514,3/19/2021,0:00:00
10.86,10.86,10.3,10.74,1664,3/18/2021,0:00:00
10.11,10.88,10.11,10.79,1617,3/17/2021,0:00:00
10.42,10.42,10,10.03,2457,3/16/2021,0:00:00
10.76,10.85,10.4,10.661,2116,3/15/2021,0:00:00
11.51,11.51,10.47,10.47,1687,3/12/2021,0:00:00
10.5,10.67,10,10.3,2825,3/11/2021,0:00:00
10.24,10.24,10,10,2038,3/10/2021,0:00:00
10.125,10.75,9.5,9.64,10521,3/9/2021,0:00:00
9.61,10.56,9.5,9.56,5139,3/8/2021,0:00:00
12.75,12.75,9.5,9.77,35019,3/5/2021,0:00:00
11.64,11.7498,8.74,8.75,24129,3/4/2021,0:00:00
12.17,12.17,11.5001,11.64,10065,3/3/2021,0:00:00
12.49,12.49,12.3,12.3,1376,3/2/2021,0:00:00
12.77,12.77,12.3,12.49,3750,3/1/2021,0:00:00
12.6,12.89,12.3,12.31,12260,2/26/2021,0:00:00
12.6,13,12.58,12.58,6751,2/25/2021,0:00:00
12.64,13.27,12.5,12.56,11044,2/24/2021,0:00:00
13.1,13.13,12.0001,12.3,28590,2/23/2021,0:00:00
14.25,14.25,13.1,13.28,27918,2/22/2021,0:00:00
13.11,13.77,13.1,13.1,9160,2/19/2021,0:00:00
13.5,13.7,13.11,13.11,21061,2/18/2021,0:00:00
13.8,13.81,13.4,13.41,13336,2/17/2021,0:00:00
13.72,13.74,13.5,13.5,4054,2/16/2021,0:00:00
13.8,13.8,13.5,13.51,9236,2/12/2021,0:00:00
14.33,14.33,13.36,13.36,15452,2/11/2021,0:00:00
13.7,14.8254,13.7,13.87,60528,2/10/2021,0:00:00
13.9,14.26,13.75,13.76,31705,2/9/2021,0:00:00
13.7,13.99,13.66,13.86,18199,2/8/2021,0:00:00
13.8968,14.1901,13.7,13.71,16156,2/5/2021,0:00:00
13.72,13.89,13.69,13.75,3944,2/4/2021,0:00:00
14.05,14.13,13.54,13.72,15316,2/3/2021,0:00:00
13.2,14.4499,13.2,14.31,68005,2/2/2021,0:00:00
14.28,14.3,12.65,13.23,50717,2/1/2021,0:00:00
15.13,15.17,13.6601,14.363,66854,1/29/2021,0:00:00
14.32,17.5,14.0276,15.24,515874,1/28/2021,0:00:00
13.91,14.2494,13.65,14,45421,1/27/2021,0:00:00
13.55,14.0999,13.5,13.92,24355,1/26/2021,0:00:00
13.78,14.2,13.5372,13.7,46162,1/25/2021,0:00:00
13.8,14.0499,13.2,13.77,28553,1/22/2021,0:00:00
15.56,15.56,13.62,13.76,102475,1/21/2021,0:00:00
13.22,15.5,12.9,15.36,348537,1/20/2021,0:00:00
13.52,14,12.7,13.51,53489,1/19/2021,0:00:00
14,14.219,13.15,13.375,49833,1/15/2021,0:00:00
14.31,14.5987,13.4498,14.005,114199,1/14/2021,0:00:00
15,15.1,14.1201,14.2646,84187,1/13/2021,0:00:00
15.64,15.64,14.3,15.002,119456,1/12/2021,0:00:00
16.31,17.195,15.1,15.495,161640,1/11/2021,0:00:00
14.89,19.45,14.89,17.34,1177178,1/8/2021,0:00:00
14.2,14.7441,14.15,14.61,113404,1/7/2021,0:00:00
14.35,14.5,14,14,48817,1/6/2021,0:00:00
14.1,14.5,14,14.35,106015,1/5/2021,0:00:00
14.62,14.8,14,14.2,97541,1/4/2021,0:00:00
14.5,14.8235,13.62,14.4,72956,12/31/2020,0:00:00
15.05,15.05,13.82,14.85,283666,12/30/2020,0:00:00
19.8,19.8,14.03,15.11,677226,12/29/2020,0:00:00
